secao,idx,key,tipo,parameters,description,optional,defeat,startHidden
TAREFA,0,"hist_1_01","CAMERA_ZOOM","","Aproximar o zoom (bolinha do mouse ou pinça no toque)",False,False,True
TAREFA,1,"hist_1_02","CAMERA_PAN","1,3","Arrastar a câmera até o Ryan (dedo ou botão direito)",False,False,True
TAREFA,2,"hist_1_03","INSPECT_ALLY_UNIT","","Inspecionar um companheiro de fila",False,False,True
TAREFA,3,"hist_1_04","UNIT_SELECTED","SD && (1,3)","Selecionar o Recruta Ryan",False,False,True
TAREFA,4,"hist_1_05","UNIT_AT_HEX","SD && Bandeira","Subir na montanha da bandeira",False,False,True
TAREFA,5,"hist_1_06","HOLD_POSITION","SD && Bandeira","Manter posicao na montanha",False,False,True
TAREFA,6,"hist_1_07","ATTACK_UNIT","","Atacar o soldado inimigo",False,False,True
TAREFA,7,"hist_1_08","ENDING","","Você aprendeu o básico",False,False,True

secao,idx,advance,objectiveKey,revealObjective,turn,movement,text,spawnCommand,statCommand
PASSO,10,"Immediate","",False,"NoEffect","NoEffect","O recruta Dias já tá na capa da gaita pra marchar longas distâncias. A autonomia dele já está no [vermelho]vermelho.[/vermelho] O que indica que ele tem menos de 25% de autonomia restante.  Pelotão faminto não anda. [enfase]Seu companheiro a direita com 15 de autonomia[/enfase]","","Dias fuel=15; pan Dias"
PASSO,11,"Immediate","",False,"NoEffect","NoEffect","E essa [azul]barra azul[/azul] é munição.  Se ela zerar, você não atira. E soldado sem munição vira decoração de cemitério.  Caixão e vela preta.","",""
PASSO,12,"Immediate","",False,"NoEffect","NoEffect","Olha os cintos agora: Mathias com a munição no fim e o Dias sem cartuchos pra atirar.  Em batalha, preste atenção na [azul]munição[/azul] antes de precisar dela, entendido? Sem munição você não atira e nem revida.","","Mathias ammo=2; Dias ammo=0"
PASSO,13,"ObjectiveCompleted","hist_1_03",True,"NoEffect","NoEffect","Mas olhar por cima não é conhecer. Inspecione um de seu aliados.  [ordem]Inspecione um dos seus companheiros de fila. Abra a ficha dele.[/ordem]","",""
PASSO,14,"Immediate","",False,"NoEffect","NoEffect","Essa é a ficha completa do combatente: condição, movimento, autonomia e armas.  Ryan pode mover 3 casas. O rifle alcança 1 casa além da posição onde ele terminar o movimento. Por isso a mira chega até a quarta casa: três de movimento e uma de alcance.","",""
PASSO,15,"Immediate","",False,"NoEffect","NoEffect","Inspecione novamente com um [enfase]segundo clique na mesma unidade[/enfase] para ver como atira se ficar parado. É sempre útil saber o alcance das armas de seus aliados e inimigos.  Se você não mover, também pode atacar qualquer inimigo que já esteja dentro do alcance. Use essa área para descobrir onde o inimigo pode chegar — e onde você estará seguro.","",""
PASSO,16,"Immediate","",False,"NoEffect","NoEffect","Muito bem. Você já sabe olhar para uma unidade sem babar no mapa.  Unidades sem munição tambem podem ser inspecionadas, só não terão a área de tiro a mostra.  É um começo.","",""
PASSO,17,"ObjectiveCompleted","hist_1_04",True,"NoEffect","NoEffect","Pois muito bem, é hora da ação.   Ryan! um passo a frente recruta.  [ordem]Selecione você mesmo, recruta Ryan.[/ordem] Ele começará a piscar no tabuleiro indicando que foi selecionado.","","wake Ryan; pan Ryan"
PASSO,18,"Immediate","",False,"NoEffect","NoEffect","Está vendo essa área marcada ao redor dele? Ela mostra até onde você pode ir neste turno. Assim como você viu durante a inspeção.  Você anda 3 casas em terreno normal. Mas cada movimento consome autonomia.  Marchar cansa, soldado. Até no treinamento de fuga e evasão da Academia.","",""
PASSO,19,"Immediate","",False,"NoEffect","NoEffect","Está vendo aquela [amarelo]bandeira[/amarelo] em cima da montanha?  é seu objetivo recruta.  Mas preste atenção: terreno diferente cobra preço diferente. Mover-se em planícies é fácil. [enfase]1 ponto de movimento por 1 de autonomia[/enfase].","","show Bandeira; pan Bandeira"
PASSO,20,"Immediate","",False,"NoEffect","NoEffect","Floresta atrasa veículos, mas não influencia a infantaria. [amarelo]Movemos na floresta como quem se move em planicies[/amarelo]. Aqui é Selva!  Montanha cobra mais da perna. Para a infantaria, subir montanha custa mais esforço. [enfase]Uma casa de montanha consome 2 de autonomia.[/enfase]  É só uma casa no mapa, mas suas pernas discordam.","",""
PASSO,21,"AllUnitsActed","hist_1_05",True,"NoEffect","Unlocked","[ordem]Agora mova até a bandeira.[/ordem]  Um, dois! Um, dois! Acelerado, recruta!  selecione um hexagono próximo da montanha e no painel lateral escolha ""apenas mover""","",""
PASSO,22,"EnemyTurnStarted","",False,"Unlocked","NoEffect","A bandeira está longe — suas pernas não chegam lá num turno só.  Marche o que der e, quando a tropa cansar, [ordem]passe a vez[/ordem].  Amanhã continuamos.   Montar Acampamento recruta! quero ver esse poncho muito bem amarrado entre as árvores!","",""
PASSO,23,"PlayerTurnStarted","",False,"Locked","NoEffect","","",""
PASSO,24,"ObjectiveCompleted","hist_1_05",False,"NoEffect","NoEffect","Dia novo, pernas descansadas. Esquadrão Delta SENTIDO!  Ordinário... MARCHE!  Um, dois, INFA! Três, quatro, SELVA!  [ordem]Selecione sua unidade novamente e suba o morro até a bandeira, recruta.[/ordem]","","pan Ryan"
PASSO,25,"EnemyTurnStarted","",False,"Unlocked","NoEffect","Missão dada é missão cumprida 17!  Agora, pegue essa bandeira e traga ela pra mim!  [ordem] Passe a vez para retirar a bandeira do mastro [/ordem]","",""
PASSO,26,"PlayerTurnStarted","",False,"NoEffect","NoEffect","","slot1 SD 7,-2 acted","pan 7,-2"
PASSO,27,"Immediate","",False,"Locked","NoEffect","Espere! Estou vendo movimento na estrada. Soldados inimigos a vista!","","pan 7,-2"
PASSO,28,"ObjectiveCompleted","hist_1_06",True,"NoEffect","HoldOnly","Em posição defensiva!  Você tem a montanha — ninguém desce desse morro. Manter posição não é ficar parado por medo. É segurar o ponto certo até a hora certa.  [ordem]Segure sua posição na montanha sem se mover. Selecione Ryan e Use ""Manter posição"".[/ordem]","","pan Ryan"
PASSO,29,"Immediate","",False,"NoEffect","NoEffect","Muito bem. Agora aprenda uma coisa importante: nem toda ordem é avanço.  Às vezes, a melhor decisão é manter posição. Você já está onde precisa estar. Não invente moda.","",""
PASSO,30,"EnemyTurnStarted","",False,"Unlocked","NoEffect","Fique aí parado e aprenda: soldado que anda demais morre cansado. Soldado que segura o ponto obriga o inimigo a pensar.  [ordem]Passe a vez e observe a infantaria inimiga.[/ordem]","",""
PASSO,31,"PlayerTurnStarted","",False,"NoEffect","NoEffect","","","slot1 SD move 7,-2 4,-2"
PASSO,32,"AimOpened","hist_1_07",True,"Locked","AttackOnly","Contato à frente - e ele ainda não te viu.  Esse alvo está no seu alcance.  Não precisa fazer discurso. Não precisa odiar o sujeito. Você só precisa confirmar se sua arma alcança.  [ordem]Selecione Ryan, Mantenha Posição e escolha Mirar.[/ordem]","","pan Ryan"
PASSO,33,"ObjectiveCompleted","hist_1_07",False,"NoEffect","NoEffect","O comando de ataque mostrou um alvo válido.  Isso significa que você tem alcance, munição e condição de disparo.  Escolha o alvo. como só tem 1 oponente, ele já vai direto para a confirmação.  [ordem]Confirme o ataque.[/ordem]","",""
PASSO,34,"Immediate","hist_1_08",True,"Unlocked","NoEffect","Resultado registrado.  Aqui não existe dado escondido, sorte milagrosa ou desculpa de azar. O resultado veio da sua unidade, da arma e da posição.  Isso é combate.   [azul](Opcional) Passe a vez para ver como estar posicionado na montanha é superior em combate[/azul]","",""
PASSO,35,"Immediate","",False,"NoEffect","NoEffect","Primeira lição concluída.  Você aprendeu a ler suas unidades, marchar pelo terreno, segurar uma posição e abrir fogo. ","",""
PASSO,36,"Immediate","",False,"NoEffect","NoEffect","Também aprendeu que cada ação tem sua hora — inclusive encerrar o turno. Ainda não é estratégia. É alfabetização de comando.  Amanhã descobrimos se você consegue fazer isso sem eu gritar no seu ouvido.  No chão, recruta! Paga vinte!","",""
PASSO,37,"Immediate","",False,"NoEffect","NoEffect","","","complete hist_1_08"
